usuario,deck,skill,ndmax,zerotg,zephra,bryan,xenoblur,yamiglen,rax
4820,Dinomist,Péndulos Unidos,2023-06-03,1,1,0,0,0,0
2711,Odd-Eyes,Péndulo Rabioso,2023-06-03,1,0,0,0,0,0
1772,Solfachord,Péndulos Unidos,2023-06-03,1,0,0,0,0,0
0148,Block Dragon,Mundo Sonriente,2023-06-03,1,0,0,0,0,0
1312,Odd-Eyes,Péndulo Rabioso,2023-06-03,1,0,0,0,0,0
5575,Speedroid,Aceleración ala Transparente,2023-06-03,1,1,0,0,0,0
8578,Orcust,Cambios,2023-06-03,1,0,0,0,0,0
6256,Rokket,Lanzamiento Borre,2023-06-03,1,0,0,0,0,0
9277,Rokket,Lanzamiento Borre,2023-06-03,1,0,0,0,0,0
1847,Rokket,Lanzamiento Borre,2023-06-03,0,1,0,0,0,0
5973,Speedroid,Aceleración ala Transparente,2023-06-03,0,1,0,0,0,0
0770,Orcust,Tumbas Selladas,2023-06-03,0,1,0,0,0,0
4774,Orcust,Tumbas Selladas,2023-06-03,0,1,0,0,0,0
6994,Gouki,El Evento Principal Gouki,2023-06-03,0,1,0,0,0,0
0196,Speedroid,Aceleración ala Transparente,2023-06-03,0,1,0,0,0,0
0534,Orcust,Cambios,2023-06-03,0,1,0,0,0,0
1677,World Chalice,Codificador Hablador Vivo,2023-06-04,1,0,0,0,0,0
8075,Odd-Eyes,Péndulo Rabioso,2023-06-04,1,0,0,0,0,0
8052,Onomat,Cambios,2023-06-04,1,0,0,0,0,0
1463,Speedroid,Aceleración ala Transparente,2023-06-04,1,0,0,0,0,0
3318,Triamids,Barrera Protectora Sagrada,2023-06-04,1,0,0,0,0,0
9952,Resonators,Alma Rugiente,2023-06-04,1,0,0,0,1,0
3086,D/D/D,El Mando del Rey de la Perdición,2023-06-04,1,0,0,0,0,0
0145,S-Force,Vinculaciones,2023-06-04,1,0,0,1,0,0
8693,Odd-Eyes,Péndulo Rabioso,2023-06-04,1,0,0,0,0,0
8958,Chronomaly,Portal de Otra Dimensión,2023-06-04,1,0,0,0,0,0
